question,argument,type,id
"In a committed relationship, what constitutes infidelity?","In a committed relationship, flirting with anyone besides your partner is considered to be cheating.",multi,791
"In a committed relationship, what constitutes infidelity?","In a committed relationship, kissing anyone else besides your partner is seen as infidelity.",multi,791
"In a committed relationship, what constitutes infidelity?","In a committed relationship, holding hands, or showing other obvious signs of affection, with anyone but your significant other constitute infidelity.",multi,791
"In a committed relationship, what constitutes infidelity?","In a committed relationship, cheating starts with obviously sexual acts, such as being naked with each other.",multi,791
"In a committed relationship, what constitutes infidelity?","In a committed relationship, BDSM acts, or sexual acts that do not involve penetration, with anyone but your partner are a kind of infidelity.",multi,791
"In a committed relationship, what constitutes infidelity?","In a committed relationship, penetrative sexual acts with anyone but your significant other constitute cheating.",multi,791
"In a committed relationship, what constitutes infidelity?","In a committed relationship, what constitutes infidelity varies between people and relationships, and thereby needs to be mutually agreed upon.",multi,791
"In a committed relationship, what constitutes infidelity?","In a committed relationship, developing romantic and emotional attachment with another person is considered cheating.",multi,791
"In a committed relationship, what constitutes infidelity?","In a committed relationship, watching pornography is seen as infidelity.",multi,791
"In a committed relationship, what constitutes infidelity?","In a committed relationship, anything that invokes a sense of betrayal by the other person or persons is considered infidelity.",multi,791
"In a committed relationship, what constitutes infidelity?","In a committed relationship, society's definitions steer what is considered cheating.",multi,791
"In a committed relationship, what constitutes infidelity?","In a committed relationship, not giving your partner any attention and only spending time with other people besides your partner, constitutes infidelity.",multi,791
The relation between the current incentive for individual behaviour and a future proof society.,Financial individualism is endangering a future proof society.,binary,792
The relation between the current incentive for individual behaviour and a future proof society.,The current incentive for individual behaviour is actually strengthening the foundation for a future proof society.,binary,792
Should the Olympics be abolished?,The Olympics should be abolished.,binary,793
Should the Olympics be abolished?,The Olympics should not be abolished.,binary,793
Bandaid fixes to U.S. healthcare,"Universal healthcare in the U.S. has little to no chance of passing in the coming 10-15 years. Instead, lawmakers should focus on smaller-scope reforms and additions to the existing system.",binary,794
Bandaid fixes to U.S. healthcare,Band-aid fixes to U.S. healthcare are not the solution; it's crucial that universal healthcare is adopted in the U.S. in the next decade to ensure comprehensive care for all citizens. Lawmakers should prioritize this over minor amendments or additions to the existing system.,binary,794
"Is America really ""Land of the Free""?","America is really the ""land of the free.""",binary,795
"Is America really ""Land of the Free""?","America is not truly the ""land of the free.""",binary,795
¿Se debe independizar Cataluña de España?,Cataluña se debe independizar de España.,binary,796
¿Se debe independizar Cataluña de España?,Cataluña no se debe independizar de España.,binary,796
Is preferential voting the most effective system for ensuring fairer election outcomes?,Preferential voting is the most effective system for ensuring fair election outcomes.,binary,797
Is preferential voting the most effective system for ensuring fairer election outcomes?,Preferential voting is not the most effective system for ensuring fairer election outcomes.,binary,797
Is Lab-Grown Meat a suitable replacement for Factory Farming?,Lab-Grown Meat is a suitable replacement for Factory Farming.,binary,798
Is Lab-Grown Meat a suitable replacement for Factory Farming?,Lab-Grown Meat is not a suitable replacement for Factory Farming.,binary,798
"In the future, humanity will create a new type of economy where automated systems distribute goods and services","In the future, humanity will create a new type of economy where automated systems distribute goods and services.",binary,799
"In the future, humanity will create a new type of economy where automated systems distribute goods and services","In the future, humanity will maintain traditional economic systems where manual processes and human interactions distribute goods and services.",binary,799
Ocean exploration should be of higher priority than space exploration the coming decade,Ocean exploration should be of higher priority than space exploration the coming decade,binary,800
Ocean exploration should be of higher priority than space exploration the coming decade,Space exploration should be of higher priority than ocean exploration in the coming decade.,binary,800
Should (compulsory) school education focus on science rather than humanities?,Compulsory school education should focus on science rather than humanities.,binary,801
Should (compulsory) school education focus on science rather than humanities?,Compulsory school education should not focus on science but rather on humanities.,binary,801
Are crop circles created by extraterrestials?,Crop circles are made by extraterrestrials.,binary,802
Are crop circles created by extraterrestials?,Crop circles are not made by extraterrestrials.,binary,802
Should religious practices that incorporate self-harm be banned?,Religious practices that incorporate self-harm should be banned.,binary,803
Should religious practices that incorporate self-harm be banned?,Religious practices that incorporate self-harm should not be banned.,binary,803
Should social media platforms be regulated by the government?,Social media platforms should be regulated by the government.,binary,804
Should social media platforms be regulated by the government?,Social media platforms should not be regulated by the government.,binary,804
Should Men Be Involved And Trusted In Childcare?,Men should be involved and trusted in childcare.,binary,805
Should Men Be Involved And Trusted In Childcare?,Men should not be involved and trusted in childcare.,binary,805
The Rebel Alliance would defeat the United Federation of Planets in space combat.,The Rebel Alliance would defeat the United Federation of Planets in space combat.,binary,806
The Rebel Alliance would defeat the United Federation of Planets in space combat.,The United Federation of Planets would defeat the Rebel Alliance in space combat.,binary,806
Will the Covid-19 pandemic have a lasting impact on society?,The Covid-19 pandemic will have a lasting impact on society.,binary,807
Will the Covid-19 pandemic have a lasting impact on society?,The Covid-19 pandemic will not have a lasting impact on society.,binary,807
Can Man-made Climate Change Be Reversed?,Man-made climate change can be reversed.,binary,808
Can Man-made Climate Change Be Reversed?,Man-made climate change cannot be reversed.,binary,808
Was Donald Trump one of the smartest presidents in US history?,Donald Trump was one of the most intelligent presidents in US history.,binary,809
Was Donald Trump one of the smartest presidents in US history?,Donald Trump was not one of the most intelligent presidents in US history.,binary,809
Do IMF programs cause economic damage to the countries they're lending to?,IMF programs cause economic damage to the countries they're lending to.,binary,810
Do IMF programs cause economic damage to the countries they're lending to?,IMF programs do not cause economic damage to the countries they're lending to.,binary,810
El reconocimiento es un punto de partida fundamental para llegar a la concordia,El reconocimiento es un punto de partida fundamental para llegar a la concordia,binary,811
El reconocimiento es un punto de partida fundamental para llegar a la concordia,El reconocimiento no es un punto de partida fundamental para llegar a la concordia.,binary,811
"Should the Met remove Balthus' painting, Thérèse Dreaming?","The Metropolitan Museum of Art should remove Balthus' painting, Thérèse Dreaming.",binary,812
"Should the Met remove Balthus' painting, Thérèse Dreaming?","The Metropolitan Museum of Art should not remove Balthus' painting, Thérèse Dreaming.",binary,812
Cruel and Unusual: Should Capital Punishment Hurt?,Executions should be painful.,binary,813
Cruel and Unusual: Should Capital Punishment Hurt?,Executions should be conducted in the most painless way possible.,binary,813
Does the world need an international environmental government with political power to mitigate environmental damage?,The world needs an international environmental government that has political power to mitigate environmental damage.,binary,814
Does the world need an international environmental government with political power to mitigate environmental damage?,The world does not need an international environmental government with political power to mitigate environmental damage.,binary,814
Who caused the leak of the Nord Stream Pipeline on 26th Sept 2022?,No one; the leak of the Nord Stream Pipeline on 26th Sept 2022 was caused by natural forces.,multi,815
Who caused the leak of the Nord Stream Pipeline on 26th Sept 2022?,A member of the European Union or UK caused the leak of the Nord Stream Pipeline on 26th Sept 2022.,multi,815
Who caused the leak of the Nord Stream Pipeline on 26th Sept 2022?,The Russian Federation caused the leak of the Nord Stream Pipeline on 26th Sept 2022.,multi,815
Who caused the leak of the Nord Stream Pipeline on 26th Sept 2022?,The United States of America caused the leak of the Nord Stream Pipeline on 26th Sept 2022.,multi,815
Who caused the leak of the Nord Stream Pipeline on 26th Sept 2022?,Ukraine caused the leak of the Nord Stream Pipeline on 26th Sept 2022.,multi,815
Is Information warfare more ethical than conventional warfare?,Information warfare is more ethical than conventional warfare.,binary,816
Is Information warfare more ethical than conventional warfare?,Information warfare is not more ethical than conventional warfare.,binary,816
Глобалізація: виклики та перспективи,Наслідки глобалізації,binary,817
Глобалізація: виклики та перспективи,Потенційні проблеми глобалізації,binary,817
Should Culturally or Historically Significant Artwork Be Property of the State?,Culturally or historically significant artwork should become the property of the state.,binary,818
Should Culturally or Historically Significant Artwork Be Property of the State?,Culturally or historically significant artwork should not become the property of the state.,binary,818
Is moral non-compulsion evidence against naturalistic evolution?,Moral non-compulsion (the fact that we can resist our moral obligations) is evidence against naturalistic evolution.,binary,819
Is moral non-compulsion evidence against naturalistic evolution?,Moral non-compulsion is not evidence against naturalistic evolution.,binary,819
Should all religions be banned on a global scale?,All religions should be banned on a global scale.,binary,820
Should all religions be banned on a global scale?,No religions should be banned on a global scale.,binary,820
Is it Time for Hungary and the EU to Part Ways?,Hungary should leave the European Union.,binary,821
Is it Time for Hungary and the EU to Part Ways?,Hungary should remain a part of the European Union.,binary,821
Doit-on apprendre à désirer pour avoir une vie pleinement satisfaisante?,Il est nécessaire d’apprendre à désirer pour avoir une vie pleinement satisfaisante.,multi,822
Doit-on apprendre à désirer pour avoir une vie pleinement satisfaisante?,Il n'est pas nécessaire d'apprendre à désirer pour avoir une vie pleinement satisfaisante.,multi,822
Is The Ubiquity of Heterosexuality Chiefly a Product Of Heteronormativity?,The ubiquity of heterosexuality is chiefly a product of heteronormativity.,binary,823
Is The Ubiquity of Heterosexuality Chiefly a Product Of Heteronormativity?,The ubiquity of heterosexuality is not primarily a product of heteronormativity.,binary,823
Was Christianity in the 20th Century Good for Europe?,The net contribution of Christianity to the improvement of Europeans' quality of life during the 20th century was positive.,binary,824
Was Christianity in the 20th Century Good for Europe?,The impact of Christianity on the quality of life of Europeans during the 20th century was negative.,binary,824
The primary purpose of marriage is procreating and raising children.,The primary purpose of marriage is procreating and raising children.,binary,825
The primary purpose of marriage is procreating and raising children.,The primary purpose of marriage is not solely about procreating and raising children.,binary,825
Should health care be free in the USA?,Health care should be free in the USA.,binary,826
Should health care be free in the USA?,Health care should not be free in the USA.,binary,826
Notebooks should be done away with and students should use electronic devices.,Notebooks should be done away with and students should use electronic devices.,binary,827
Notebooks should be done away with and students should use electronic devices.,Notebooks should not be done away with and students should continue using them instead of electronic devices.,binary,827
¿Protegen las vacunas a la sociedad?,Las vacunas protegen a la sociedad.,binary,828
¿Protegen las vacunas a la sociedad?,Las vacunas no protegen a la sociedad.,binary,828
Is Rahul Gandhi mature enough to handle a position of responsibility like being a prime minister?,Rahul Gandhi is mature enough to handle a position of responsibility like that of a Prime Minister.,binary,829
Is Rahul Gandhi mature enough to handle a position of responsibility like being a prime minister?,Rahul Gandhi is not mature enough to handle a position of responsibility like that of a Prime Minister.,binary,829
Is the BBC an Impartial Organization?,The BBC is an impartial organisation.,binary,830
Is the BBC an Impartial Organization?,The BBC is not an impartial organisation.,binary,830
Should students be able to grade their teachers?,Teachers' salaries should be determined based upon grading from students.,binary,831
Should students be able to grade their teachers?,Teachers' salaries should not be influenced by the grading from students.,binary,831
Anarchist Economies: Universal Unit of Account?,A working economy needs a Universal Unit of Account,binary,832
Anarchist Economies: Universal Unit of Account?,An anarchist economy does not require a Universal Unit of Account.,binary,832
Do Parents Have an Obligation to Genetically Enhance Their Babies?,Parents should genetically enhance their babies once the procedures have been approved by the corresponding regulatory bodies.,binary,833
Do Parents Have an Obligation to Genetically Enhance Their Babies?,"Parents do not have an obligation to genetically enhance their babies, even if the procedures have been approved by the corresponding regulatory bodies.",binary,833
The knowledge that we exist in a Simulated Reality has no utility,The knowledge that we exist in a Simulated Reality has no utility.,binary,834
The knowledge that we exist in a Simulated Reality has no utility,The knowledge that we exist in a Simulated Reality actually holds significant importance.,binary,834
Are Weapons of Mass destruction Ethical?,Weapons of Mass Destruction are ethical.,binary,835
Are Weapons of Mass destruction Ethical?,Weapons of Mass Destruction are unethical.,binary,835
'Sola Scriptura' is a man-made philosophy.,"'Sola Scriptura' (Scripture Alone) is a man-made philosophy, and is therefore--- by its own definition-- not biblically based.",binary,836
'Sola Scriptura' is a man-made philosophy.,"'Sola Scriptura' is not a man-made philosophy, but is instead a biblical doctrine.",binary,836
"It is better to discuss topics in person, rather than through online text-based mediums.","It is better to discuss topics in person, rather than through online text-based mediums.",binary,837
"It is better to discuss topics in person, rather than through online text-based mediums.",Discussing topics through online text-based mediums is preferable compared to in-person interactions.,binary,837
Citizens are entitled to influence decisions made by the government through online public discussions and votings.,Citizens are entitled to influence decisions made by the government through online public discussions and votings.,binary,838
Citizens are entitled to influence decisions made by the government through online public discussions and votings.,Citizens are not entitled to influence decisions made by the government through online public discussions and votings.,binary,838
Should People Be Allowed To Work More Than 10 Hours/Day?,People should be allowed to work more than 10 hours a day.,binary,839
Should People Be Allowed To Work More Than 10 Hours/Day?,People should not be allowed to work more than 10 hours a day,binary,839
Sports is presently the best Career choice.,Sports is presently the best Career choice.,binary,840
Sports is presently the best Career choice.,Sports is currently not the best career choice.,binary,840
Anarchist Economies: What kind of production and distribution coordination do you prefer between local structures?,Anarchist Economies: You prefer no additional structure for coordination of production and distribution between local structures.,multi,841
Anarchist Economies: What kind of production and distribution coordination do you prefer between local structures?,Anarchist Economies: You prefer only local consumption for coordinating production and distribution between local structures.,multi,841
Anarchist Economies: What kind of production and distribution coordination do you prefer between local structures?,Anarchist Economies: You prefer socialist market or barter for the coordination of production and distribution between local structures.,multi,841
Anarchist Economies: What kind of production and distribution coordination do you prefer between local structures?,Anarchist Economies: You prefer federated councils to decide how to coordinate production and distribution between local structures.,multi,841
Anarchist Economies: What kind of production and distribution coordination do you prefer between local structures?,Anarchist Economies: You prefer producers to decide who gets the product/service for coordination of production and distribution between local structures.,multi,841
Should video game storytelling portray gender equality?,Video game storytelling should portray gender equality.,binary,842
Should video game storytelling portray gender equality?,Video game storytelling should not necessarily portray gender equality.,binary,842
Is dating easier for women?,Dating is much easier for women.,binary,843
Is dating easier for women?,Dating is not necessarily easier for women.,binary,843
Is astrology a valid practice?,Astrology is a valid practice.,binary,844
Is astrology a valid practice?,Astrology is not a valid practice.,binary,844
Should We Abolish Strict Regulation Over Crossing National Borders?,"In pursuit of a globalised world, we should abolish strict regulation of national borders",binary,845
Should We Abolish Strict Regulation Over Crossing National Borders?,"In order to protect our national security and sovereignty, we should maintain strict regulation over crossing national borders.",binary,845
Should Daylight Saving Time be kept?,Daylight saving time should be kept.,binary,846
Should Daylight Saving Time be kept?,Daylight saving time should be abolished.,binary,846
What is the best writing advice?,The best writing advice is no writing advice.,multi,847
What is the best writing advice?,Prioritize working on the characters in your story is another great writing advice.,multi,847
What is the best writing advice?,Devote enough time for preparatory and research work is crucial when writing.,multi,847
What is the best writing advice?,Follow the principles and practices of effective storytelling is also ideal writing advice.,multi,847
Wird ein deutlicher Klimawandel durch menschengemachtes CO2 verursacht?,Wird ein deutlicher Klimawandel durch menschengemachtes CO2 verursacht?,binary,848
Wird ein deutlicher Klimawandel durch menschengemachtes CO2 verursacht?,Wird kein deutlicher Klimawandel durch menschengemachtes CO2 verursacht?,binary,848
"The American GMD system is capable against a limited number of older generation threats. What should be done about it, given the money it costs to maintain and the turbulent history it possesses?","The GMD system should be expanded in its current form, and more money should be invested to improve it from other military branches, as America faces little danger from enemy armies and a lot more from enemy missiles. Thus, build more ABM missiles and work on making the RADARs and kill vehicles more sensitive.",multi,849
"The American GMD system is capable against a limited number of older generation threats. What should be done about it, given the money it costs to maintain and the turbulent history it possesses?","The GMD system should be dismantled, as it provides a false sense of security, is a waste of money, and doesn't have much if any capability against ballistic missiles.",multi,849
"The American GMD system is capable against a limited number of older generation threats. What should be done about it, given the money it costs to maintain and the turbulent history it possesses?","The GMD system should be the focus of a large program to expand and improve it, and there should be a concerted effort by the American military and government to push it forward as quick as useful instead of letting it improve slowly. There's too much danger in the world to just let this sit or worse, dismantle it.",multi,849
Aboriginal and Torres Strait Islander Voice in the Australian Constitution,The Australian Constitution should be altered to recognise the First Peoples of Australia by establishing an Aboriginal and Torres Strait Islander Voice.,binary,850
Aboriginal and Torres Strait Islander Voice in the Australian Constitution,"The Australian Constitution should remain as it is, without recognising the First Peoples of Australia through the establishment of an Aboriginal and Torres Strait Islander Voice.",binary,850
NHL commissioner Gary Bettman has been good for the league,NHL commissioner Gary Bettman has been good for the league.,binary,851
NHL commissioner Gary Bettman has been good for the league,NHL commissioner Gary Bettman has not been beneficial for the league.,binary,851
Who is to blame for drug and alcohol addiction?,People aren't to blame for being addicted to drugs/alcohol,binary,852
Who is to blame for drug and alcohol addiction?,People are to blame for their addiction to drugs/alcohol.,binary,852
Faut-il réformer les retraites en France ?,La pension minimale doit être augmentée pour reformer les retraites en France.,multi,853
Faut-il réformer les retraites en France ?,L'age de départ à la retraite doit être augmenté pour reformer les retraites en France.,multi,853
Faut-il réformer les retraites en France ?,La dépense totale consacrée aux retraites doit diminuer pour reformer les retraites en France.,multi,853
Faut-il réformer les retraites en France ?,La cotisation par point permettra une répartition plus juste des retraites en France.,multi,853
Faut-il réformer les retraites en France ?,Le régime spéciale des retraites propres à certains métiers doit être abolis pour reformer les retraites en France.,multi,853
Faut-il réformer les retraites en France ?,Nous devons manifester contre la réforme des retraites en France.,multi,853
Faut-il réformer les retraites en France ?,Le réforme des retraites n'est pas applicable en l'état en France.,multi,853
"If God is Real, Should we File a Class Action Lawsuit Against It?","If God is real, then we should file a class action lawsuit against it.",binary,854
"If God is Real, Should we File a Class Action Lawsuit Against It?","If God is real, we should not file a class action lawsuit against it.",binary,854
Should Gay Men Be Allowed To Donate Blood?,Gay men should be allowed to donate blood.,binary,855
Should Gay Men Be Allowed To Donate Blood?,Gay men should not be allowed to donate blood.,binary,855
Can religious belief be rational without argument?,Islamic Reformed Epistemology is the thesis that religious belief can be rational without argument. It argues for the necessity of verifying epistemic via warrant.,binary,856
Can religious belief be rational without argument?,Islamic Reformed Epistemology's premise that religious belief can be rational without argument is not acceptable. It rejects the need for verifying epistemic through warrant.,binary,856
Should US Presidents Have the Power to Issue Pardons?,US presidents should have the power to issue pardons.,binary,857
Should US Presidents Have the Power to Issue Pardons?,US presidents should not have the power to issue pardons.,binary,857
Muhammad's succession,Muhammad chose Ali as his successor.,binary,859
Muhammad's succession,Muhammad did not choose Ali as his successor.,binary,859
Who / What is Kiri?,"Kiri is the physical incarnation of the goddess, Eywa, who is born as a way to protect moon, Pandora, from impending doom.",multi,860
Who / What is Kiri?,Kiri is a clone of Dr. Grace Augustine.,multi,860
Who / What is Kiri?,"Kiri is a naturally born Na'vi of Pandora, just like any other Na'vi.",multi,860
Nanotechnology in agriculture,Nanotechnology in agriculture is more beneficial to global food production and climate change reduction than it is potentially harmful to people,binary,861
Nanotechnology in agriculture,The potential harm that nanotechnology in agriculture can bring to people outweighs its benefits to global food production and climate change reduction.,binary,861
"Is liberal democracy, as described by fukayama; the final form of government?","Yes, fukyama describes liberal democracy as the final form of government.",multi,862
"Is liberal democracy, as described by fukayama; the final form of government?","No, Liberal democracy is not the final form of government as we understand it.",multi,862
"Is liberal democracy, as described by fukayama; the final form of government?","Maybe, perhaps there are terms that are comparable and some form of liberal democracy will create the final form in the forseable future.",multi,862
"Is liberal democracy, as described by fukayama; the final form of government?","No, the final form of government will be a youth led eco-socialist platform, based on pre-colonial governance structures; exponentially scalable through technology and aggregators, yet equally managable in 40-50 home communities.",multi,862
"Is liberal democracy, as described by fukayama; the final form of government?",Nothing lasts forever which means that liberal democracy will eventually also be thrown aside as the final form of government.,multi,862
Should the US return to the gold standard?,Should the US return to the gold standard?,binary,863
Should the US return to the gold standard?,The US should not return to the gold standard.,binary,863
Human Beauty Standards Are Determined By Biology,Human beauty standards are determined by biology and are not purely social constructs.,binary,864
Human Beauty Standards Are Determined By Biology,Human beauty standards are not predominantly dictated by biological factors.,binary,864
Should doctors be banned from performing genital reshaping surgery on intersex infants?,Doctors should be banned from performing genital reshaping surgery on intersex infants.,binary,865
Should doctors be banned from performing genital reshaping surgery on intersex infants?,Doctors should not be banned from performing genital reshaping surgery on intersex infants.,binary,865
Should the U.S. increase the quota of H-1B visas?,Should the U.S. increase the quota of H-1B visas?,binary,866
Should the U.S. increase the quota of H-1B visas?,The U.S. should not increase the quota of H-1B visas.,binary,866
Should Bitcoin Be Adopted As Legal Tender Worldwide?,Bitcoin should be adopted as legal tender worldwide.,binary,867
Should Bitcoin Be Adopted As Legal Tender Worldwide?,Bitcoin should not be adopted as legal tender worldwide.,binary,867
What happens to us once our physical bodies die?,Nothing happens to us once our physical bodies die.,multi,868
What happens to us once our physical bodies die?,Heaven or Hell is where we go once our physical bodies die.,multi,868
What happens to us once our physical bodies die?,Reincarnation happens to us once our physical bodies die.,multi,868
